time,x,y,theta
149.495,0.246,0.04,0.83
149.709,0.16,-0.004,0.811
149.967,0.059,-0.022,0.862
150.146,-0.058,-0.143,0.87
150.236,-0.048,-0.127,0.864
150.518,-0.038,-0.203,0.983
150.69,-0.087,-0.224,0.907
150.815,-0.077,-0.208,0.901
150.918,-0.068,-0.191,0.895
151.023,-0.058,-0.175,0.888
151.174,-0.087,-0.134,0.979
151.371,-0.1,-0.042,0.962
151.485,-0.087,-0.033,0.951
151.601,-0.074,-0.024,0.939
151.71,-0.061,-0.014,0.927
151.951,0.096,0.116,0.89
152.199,0.088,0.19,0.902
152.403,0.195,0.235,0.807
152.65,0.262,0.282,0.798
152.939,0.314,0.355,0.654
153.038,0.302,0.341,0.662
153.271,0.24,0.351,0.26
153.525,0.175,0.296,0.379
153.82,0.077,0.398,0.321
154.064,0.093,0.266,0.314
154.157,0.093,0.259,0.333
154.396,-0.01,0.24,0.453
154.644,-0.031,0.228,0.576
154.985,-0.1,0.365,0.642
155.204,-0.11,0.206,0.691
155.325,-0.093,0.198,0.699
155.433,-0.077,0.19,0.706
155.527,-0.06,0.181,0.714
155.767,-0.08,0.211,0.809
155.995,-0.06,0.393,0.827
156.142,-0.051,0.376,0.824
156.488,0.102,0.465,0.889
156.731,0.095,0.278,1.035
156.916,0.227,0.289,1.054
157.047,0.22,0.278,1.039
157.152,0.213,0.267,1.024
157.256,0.205,0.257,1.008
157.368,0.198,0.246,0.993
157.462,0.191,0.235,0.978
157.579,0.237,0.276,1.029
157.66,0.228,0.265,1.014
157.943,0.13,0.218,1.05
158.054,0.128,0.21,1.032
158.16,0.126,0.202,1.014
158.27,0.124,0.194,0.996
158.541,0.054,0.104,0.937
158.744,0.009,0.049,0.886
158.855,0.022,0.057,0.872
158.954,0.034,0.064,0.858
159.252,-0.068,-0.018,0.827
159.429,-0.106,-0.049,0.805
159.691,-0.09,0.059,0.692
159.778,-0.073,0.062,0.701
160.009,-0.057,0.212,0.549
160.262,0.128,0.023,0.632
160.463,0.097,0.244,0.559
160.58,0.097,0.233,0.576
160.641,0.097,0.222,0.593
160.792,0.357,0.137,0.675
160.869,0.339,0.134,0.683
161.018,0.376,0.19,0.635
161.14,0.359,0.184,0.645
161.339,0.296,0.368,0.672
161.574,0.382,0.21,0.712
161.697,0.364,0.203,0.717
161.765,0.346,0.196,0.721
161.904,0.345,0.184,0.802
161.989,0.327,0.178,0.801
162.26,0.286,0.11,0.839
162.471,0.24,0.055,0.861
162.585,0.223,0.06,0.851
162.66,0.207,0.066,0.842
162.949,0.019,-0.086,0.89
163.228,-0.072,-0.167,0.821
163.45,-0.045,-0.222,0.811
163.58,-0.037,-0.204,0.809
163.68,-0.029,-0.186,0.808
163.93,-0.112,-0.231,0.629
164.153,-0.126,-0.169,0.6
165.297,0.245,0.1,0.561
165.476,0.298,0.15,0.59
165.676,0.273,0.338,0.615
165.787,0.263,0.323,0.625
165.882,0.253,0.309,0.635
166.678,0.442,0.3,0.739
166.897,0.415,0.266,0.757
167.03,0.397,0.256,0.759
167.1,0.38,0.247,0.76
167.345,0.306,0.147,0.854
167.576,0.242,0.11,0.842
167.77,0.224,0.03,0.92
167.891,0.212,0.038,0.906
168.0,0.199,0.045,0.893
168.105,0.186,0.052,0.879
168.204,0.174,0.059,0.865
168.452,-0.017,-0.153,0.938
168.673,-0.159,-0.211,0.745
168.889,-0.098,-0.143,0.684
168.995,-0.086,-0.128,0.691
169.243,-0.027,-0.219,0.681
169.365,-0.02,-0.201,0.686
169.624,-0.112,-0.102,0.6
170.806,0.268,0.151,0.733
171.049,0.333,0.223,0.8
171.274,0.294,0.439,0.79
171.492,0.357,0.467,0.865
171.606,0.346,0.45,0.861
171.705,0.335,0.434,0.858
171.942,0.438,0.37,0.957
172.072,0.424,0.359,0.95
172.165,0.409,0.347,0.942
172.243,0.395,0.335,0.935
172.385,0.335,0.242,0.902
172.533,0.319,0.233,0.894
172.727,0.273,0.162,0.894
172.927,0.118,0.284,0.833
173.039,0.116,0.265,0.828
173.126,0.114,0.245,0.823
173.364,-0.085,-0.012,0.695
173.589,0.099,-0.091,0.865
173.706,0.099,-0.072,0.857
173.915,-0.065,-0.069,0.76
174.048,-0.051,-0.055,0.763
174.392,-0.167,-0.139,0.728
174.582,-0.135,-0.202,0.781
174.686,-0.123,-0.187,0.781
174.933,-0.085,0.1,0.676
175.146,0.092,0.032,0.781
175.348,0.107,0.035,0.744
175.505,0.216,0.089,0.785
175.701,0.279,0.116,0.821
175.825,0.282,0.116,0.802
176.064,0.273,0.394,0.757
176.261,0.404,0.3,0.785
176.343,0.404,0.295,0.765
176.583,0.398,0.324,0.617
176.719,0.398,0.317,0.598
176.824,0.398,0.31,0.58
176.927,0.398,0.303,0.561
177.022,0.398,0.296,0.542
177.169,0.43,0.454,0.51
177.278,0.429,0.443,0.493
177.366,0.428,0.431,0.477
177.603,0.402,0.378,0.295
177.838,0.396,0.376,0.164
178.04,0.39,0.37,-0.011
178.263,0.385,0.379,-0.101
178.477,0.385,0.38,-0.132
178.726,0.38,0.376,-0.177
178.936,0.381,0.363,-0.189
179.139,0.388,0.341,-0.227
179.266,0.388,0.327,-0.213
179.517,0.411,0.205,-0.18
179.735,0.435,0.286,-0.176
179.96,0.459,0.273,-0.147
180.26,0.495,0.255,-0.069
180.524,0.517,0.245,-0.004
180.717,0.527,0.245,0.01
180.811,0.513,0.23,0.009
181.047,0.537,0.116,0.114
181.287,0.53,0.229,0.074
181.606,0.528,0.226,0.096
181.794,0.543,0.21,0.126
181.918,0.53,0.2,0.115
181.99,0.517,0.19,0.103
182.242,0.474,0.215,0.063
182.459,0.414,0.192,0.087
182.577,0.412,0.177,0.073
182.679,0.41,0.164,0.061
183.027,0.232,0.171,0.09
183.124,0.234,0.174,0.11
183.198,0.237,0.177,0.13
183.505,0.157,0.169,0.063
183.7,0.165,0.153,0.112
183.916,0.171,0.147,0.142
184.02,0.174,0.15,0.161
184.255,0.184,0.156,0.439
184.476,0.217,0.151,0.577
184.693,0.241,0.137,0.721
184.805,0.244,0.143,0.74
184.918,0.248,0.149,0.759
185.006,0.251,0.155,0.778
185.11,0.255,0.161,0.796
185.352,0.225,0.219,1.156
185.616,0.297,0.288,1.272
185.814,0.342,0.294,1.138
185.948,0.344,0.299,1.157
186.027,0.347,0.303,1.176
186.31,0.384,0.389,1.142
186.522,0.4,0.432,1.169
186.623,0.4,0.431,1.189
186.726,0.4,0.429,1.209
187.022,0.439,0.529,1.213
187.461,0.454,0.594,1.415
188.444,0.468,0.519,2.156
188.668,0.407,0.469,2.175
188.779,0.407,0.466,2.155
188.883,0.407,0.464,2.135
188.98,0.407,0.462,2.115
189.076,0.406,0.46,2.095
189.34,0.66,0.373,2.235
190.519,0.634,0.229,1.783
190.761,0.608,0.25,1.533
190.991,0.723,0.294,1.434
191.094,0.706,0.3,1.441
191.189,0.688,0.305,1.449
191.275,0.67,0.311,1.456
191.377,0.653,0.317,1.464
191.473,0.635,0.323,1.471
191.567,0.617,0.329,1.479
191.651,0.6,0.334,1.486
191.746,0.582,0.34,1.494
191.851,0.565,0.346,1.501
191.945,0.547,0.352,1.509
192.044,0.529,0.358,1.516
192.144,0.512,0.363,1.524
192.241,0.494,0.369,1.531
192.352,0.478,0.374,1.538
192.544,0.469,0.375,1.577
192.642,0.464,0.375,1.596
192.746,0.46,0.376,1.616
192.848,0.455,0.376,1.635
192.948,0.451,0.376,1.655
193.044,0.446,0.377,1.674
193.15,0.441,0.377,1.693
193.25,0.437,0.377,1.713
193.347,0.432,0.377,1.732
193.457,0.428,0.378,1.752
193.559,0.423,0.378,1.771
193.652,0.418,0.378,1.791
193.752,0.414,0.379,1.81
193.854,0.409,0.379,1.83
193.955,0.405,0.379,1.849
194.057,0.4,0.38,1.869
194.158,0.395,0.38,1.888
194.259,0.391,0.38,1.908
194.361,0.386,0.381,1.927
194.465,0.382,0.381,1.946
194.571,0.377,0.381,1.966
194.669,0.373,0.381,1.985
194.773,0.368,0.382,2.005
194.873,0.363,0.382,2.024
194.97,0.359,0.382,2.044
195.069,0.354,0.383,2.063
195.168,0.35,0.383,2.083
195.259,0.345,0.383,2.102
195.358,0.34,0.384,2.122
195.456,0.336,0.384,2.141
195.553,0.331,0.384,2.161
195.653,0.327,0.385,2.18
195.843,0.542,0.604,1.549
195.951,0.537,0.602,1.568
196.05,0.531,0.599,1.588
196.149,0.526,0.597,1.607
196.245,0.521,0.595,1.626
196.338,0.516,0.592,1.645
196.443,0.51,0.59,1.664
196.544,0.505,0.587,1.683
196.633,0.5,0.585,1.702
196.719,0.494,0.582,1.721
196.998,0.365,0.659,2.283
197.225,0.364,0.649,2.297
197.326,0.358,0.644,2.315
197.552,0.357,0.635,2.323
197.696,0.351,0.63,2.341
197.879,0.357,0.625,2.336
198.108,0.357,0.618,2.343
198.216,0.351,0.613,2.361
198.313,0.345,0.608,2.38
198.444,0.355,0.611,2.349
198.545,0.349,0.606,2.368
198.77,0.352,0.602,2.425
199.036,0.351,0.596,2.452
199.203,0.464,0.65,2.435
199.429,0.346,0.592,2.489
199.533,0.339,0.587,2.507
199.797,0.46,0.698,2.511
200.003,0.453,0.727,2.585
200.228,0.333,0.576,2.598
200.337,0.325,0.571,2.616
200.418,0.318,0.565,2.634
200.684,0.447,0.679,2.718
200.91,0.318,0.555,2.762
201.02,0.309,0.548,2.778
201.178,0.428,0.594,2.868
201.375,0.309,0.534,2.883
201.493,0.297,0.526,2.897
201.595,0.285,0.519,2.912
201.855,0.406,0.582,3.067
203.03,0.389,0.572,3.071
203.143,0.372,0.562,3.075
204.312,0.355,0.552,3.079
204.521,-0.086,0.054,-2.517
204.68,-0.081,0.064,-2.534
205.847,-0.075,0.073,-2.551
205.949,-0.07,0.082,-2.568
206.048,-0.065,0.092,-2.585
206.149,-0.06,0.101,-2.602
206.249,-0.055,0.111,-2.619
206.35,-0.05,0.12,-2.636
206.448,-0.045,0.129,-2.653
206.605,-0.125,0.005,-2.567
206.706,-0.119,0.016,-2.583
206.791,-0.113,0.027,-2.598
206.875,-0.107,0.038,-2.614
207.133,0.006,0.082,-2.662
207.291,0.009,0.093,-2.678
207.392,0.013,0.104,-2.695
207.497,0.016,0.115,-2.711
207.603,0.019,0.126,-2.728
207.695,0.022,0.136,-2.744
207.783,0.026,0.147,-2.76
207.88,0.029,0.158,-2.777
208.138,0.212,0.28,-2.747
208.446,0.263,0.413,-3.03
208.655,0.306,0.408,3.02
208.884,0.332,0.421,2.87
209.108,0.355,0.395,2.691
209.336,0.348,0.341,2.717
209.561,0.327,0.439,2.663
209.764,0.264,0.453,2.671
209.964,0.213,0.458,2.671
210.117,0.209,0.456,2.691
210.33,0.139,0.512,2.729
210.64,0.097,0.516,2.846
210.785,0.097,0.508,2.864
211.044,0.061,0.436,-3.052
211.21,0.068,0.43,-3.069
211.618,0.058,0.399,-2.922
211.732,0.059,0.396,-2.941
211.829,0.059,0.393,-2.961
211.925,0.059,0.389,-2.981
212.014,0.06,0.386,-3.001
212.272,0.1,0.39,-3.004
212.462,0.094,0.482,-3.0
212.617,0.094,0.477,-3.019
212.727,0.094,0.473,-3.039
212.842,0.094,0.469,-3.058
212.942,0.094,0.464,-3.078
213.044,0.094,0.46,-3.097
213.141,0.094,0.456,-3.117
213.231,0.094,0.451,-3.136
213.488,0.138,0.352,-3.01
213.733,0.126,0.453,-2.976
213.93,0.149,0.337,-3.008
214.138,0.138,0.442,-2.982
214.275,0.138,0.438,-3.001
214.393,0.137,0.434,-3.021
214.508,0.137,0.43,-3.04
214.817,0.133,0.32,3.119
215.017,0.121,0.438,3.096
215.156,0.12,0.433,3.077
215.26,0.12,0.429,3.057
215.578,0.115,0.408,3.024
215.786,0.126,0.411,3.029
215.998,0.101,0.393,2.911
216.144,0.101,0.389,2.891
216.257,0.101,0.385,2.872
216.355,0.101,0.38,2.852
216.443,0.101,0.376,2.833
216.536,0.1,0.372,2.813
216.795,0.111,0.289,2.941
216.945,0.111,0.287,2.922
217.049,0.111,0.284,2.902
217.265,0.113,0.374,2.96
217.597,0.117,0.364,2.975
217.813,0.121,0.266,2.957
218.033,0.126,0.282,2.916
218.33,0.157,0.254,2.78
218.524,0.161,0.325,2.756
218.682,0.16,0.321,2.736
218.791,0.159,0.317,2.717
218.999,0.17,0.217,2.601
219.301,0.178,0.302,2.558
219.523,0.181,0.295,2.552
219.741,0.181,0.287,2.543
219.903,0.18,0.283,2.523
220.065,0.183,0.173,2.539
220.328,0.187,0.271,2.543
220.54,0.191,0.268,2.571
220.739,0.187,0.259,2.585
220.901,0.186,0.256,2.566
221.109,0.157,0.191,2.586
221.408,0.149,0.266,2.453
222.078,0.021,0.186,2.459
222.238,0.023,0.184,2.439
222.419,0.051,0.158,2.067
222.646,0.058,0.132,1.931
222.761,0.06,0.13,1.911
222.879,0.062,0.128,1.891
222.973,0.065,0.126,1.872
223.067,0.067,0.125,1.852
223.298,0.091,0.059,1.62
223.654,0.152,0.047,1.385
223.762,0.152,0.05,1.365
223.867,0.152,0.053,1.345
223.954,0.151,0.057,1.326
224.105,0.121,-0.004,1.121
224.343,0.14,-0.021,1.026
224.546,0.119,-0.001,0.915
225.677,0.36,0.182,0.782
225.888,0.409,0.243,0.748
226.083,0.38,0.446,0.682
226.182,0.368,0.43,0.687
226.418,0.442,0.484,0.68
226.534,0.475,0.501,0.689
226.647,0.462,0.486,0.693
226.739,0.449,0.472,0.697
226.822,0.435,0.458,0.701
226.969,0.404,0.464,0.739
227.075,0.392,0.448,0.741
227.173,0.379,0.433,0.743
227.415,0.357,0.266,0.703
227.633,0.232,0.352,0.732
227.762,0.225,0.334,0.737
227.864,0.218,0.316,0.741
227.96,0.21,0.298,0.746
228.202,0.172,0.046,0.83
228.299,0.169,0.064,0.822
228.642,0.061,-0.039,0.824
228.871,-0.07,-0.108,0.867
229.075,-0.129,0.017,0.849
229.193,-0.12,0.02,0.832
229.284,-0.11,0.022,0.815
229.433,-0.113,-0.163,0.842
229.684,-0.09,0.056,0.792
229.868,-0.036,-0.088,0.857
229.975,-0.028,-0.083,0.84
230.224,0.05,-0.016,0.86
230.559,0.121,0.039,0.875
230.777,0.099,0.256,0.717
230.915,0.106,0.253,0.698
231.003,0.112,0.25,0.679
231.101,0.119,0.247,0.661
231.399,0.294,0.183,0.762
231.588,0.332,0.214,0.772
231.706,0.333,0.212,0.753
231.8,0.333,0.211,0.733
232.044,0.368,0.249,0.767
232.282,0.372,0.245,0.749
232.384,0.371,0.242,0.729
233.498,0.263,0.295,-0.312
233.707,0.247,0.263,-0.412
233.905,0.228,0.281,-0.513
234.02,0.232,0.276,-0.494
234.121,0.237,0.271,-0.475
234.221,0.241,0.267,-0.456
234.471,0.167,0.287,-0.91
234.711,0.179,0.242,-0.779
234.926,0.21,0.217,-0.771
235.13,0.241,0.196,-0.771
235.236,0.243,0.195,-0.751
235.317,0.246,0.194,-0.731
235.691,0.459,0.258,-0.822
235.921,0.349,0.106,-0.747
236.124,0.383,0.128,-0.651
236.332,0.402,0.144,-0.508
236.554,0.428,0.178,-0.209
236.764,0.422,0.104,-0.224
236.879,0.416,0.108,-0.206
236.989,0.41,0.112,-0.187
237.067,0.404,0.116,-0.168
237.218,0.431,0.199,0.283
237.421,0.411,0.218,0.43
237.539,0.409,0.215,0.41
237.641,0.406,0.212,0.391
237.739,0.403,0.209,0.371
238.04,0.33,0.203,0.437
238.274,0.286,0.182,0.438
238.484,0.261,0.136,0.397
238.604,0.265,0.136,0.377
238.935,0.241,0.08,0.22
239.145,0.203,0.113,0.088
239.378,0.218,0.099,0.055
239.603,0.248,0.115,0.006
239.944,0.323,0.121,0.008
240.404,0.47,0.122,-0.02
240.624,0.542,0.131,-0.028
240.82,0.617,0.139,-0.032
241.032,0.648,0.149,0.07
241.132,0.644,0.152,0.09
241.377,0.632,0.163,0.222
241.479,0.628,0.166,0.241
241.569,0.624,0.169,0.261
241.824,0.6,0.058,0.629
242.162,0.548,0.156,0.626
242.352,0.512,0.148,0.694
242.461,0.508,0.152,0.713
242.563,0.505,0.157,0.733
242.66,0.501,0.161,0.752
242.957,0.571,0.013,0.948
243.15,0.56,0.017,0.973
243.268,0.554,0.026,0.99
243.363,0.548,0.035,1.007
243.605,0.508,0.039,0.976
243.836,0.492,0.053,0.984
243.936,0.488,0.062,1.001
244.218,0.458,0.083,1.034
244.431,0.44,0.097,1.067
244.545,0.437,0.106,1.085
244.637,0.434,0.115,1.103
244.923,0.417,0.105,1.114
245.131,0.401,0.113,1.135
245.316,0.355,0.132,1.26
245.454,0.355,0.144,1.277
245.551,0.354,0.155,1.293
245.647,0.354,0.167,1.309
245.743,0.354,0.178,1.326
245.827,0.354,0.19,1.342
246.058,0.242,0.179,2.129
246.193,0.246,0.184,2.111
246.291,0.249,0.19,2.092
246.382,0.253,0.196,2.073
246.648,0.27,0.352,2.304
246.865,0.094,0.298,2.298
246.984,0.1,0.299,2.28
247.091,0.107,0.301,2.261
247.186,0.114,0.302,2.242
247.453,0.209,0.433,2.337
247.68,0.093,0.358,2.363
248.011,0.11,0.352,2.189
248.247,0.108,0.364,2.183
248.359,0.115,0.364,2.165
248.451,0.123,0.363,2.146
248.538,0.13,0.363,2.128
248.767,0.161,0.343,2.134
249.009,0.193,0.329,2.023
249.128,0.199,0.329,2.004
249.352,0.232,0.3,1.824
249.535,0.247,0.283,1.713
249.657,0.258,0.29,1.698
249.744,0.269,0.297,1.683
250.027,0.251,0.25,1.6
250.234,0.255,0.259,1.621
250.344,0.268,0.272,1.614
250.437,0.282,0.285,1.607
250.722,0.275,0.288,1.617
250.949,0.299,0.326,1.62
251.426,0.342,0.438,1.675
251.719,0.364,0.491,1.661
251.946,0.467,0.519,1.728
252.07,0.463,0.516,1.748
252.18,0.458,0.514,1.767
252.28,0.454,0.512,1.787
252.378,0.45,0.51,1.806
252.719,0.459,0.459,2.244
252.972,0.369,0.439,2.306
253.153,0.364,0.431,2.314
253.256,0.359,0.429,2.333
253.524,0.463,0.512,2.307
253.721,0.473,0.496,2.31
253.948,0.353,0.411,2.348
254.065,0.348,0.41,2.367
254.152,0.343,0.409,2.386
254.417,0.463,0.541,2.424
254.62,0.462,0.522,2.441
254.762,0.454,0.517,2.459
254.867,0.446,0.513,2.477
254.957,0.438,0.509,2.494
255.062,0.43,0.504,2.512
255.156,0.422,0.5,2.53
255.417,0.404,0.447,2.924
255.637,0.421,0.496,2.917
255.842,0.422,0.488,2.921
256.062,0.428,0.474,2.931
256.381,0.43,0.489,2.954
257.595,0.415,0.482,2.964
257.753,0.076,0.344,-3.077
258.19,-0.063,0.335,-3.059
258.364,-0.06,0.333,-3.079
258.623,-0.181,0.326,-3.045
258.776,-0.177,0.324,-3.064
258.886,-0.173,0.322,-3.084
258.992,-0.169,0.32,-3.103
259.081,-0.165,0.318,-3.123
259.166,-0.161,0.316,-3.142
259.255,-0.157,0.314,-3.162
259.416,-0.145,0.404,2.799
259.622,-0.124,0.397,2.703
259.779,-0.119,0.393,2.684
260.042,-0.081,0.374,2.497
260.197,-0.077,0.37,2.478
260.291,-0.072,0.365,2.459
260.373,-0.067,0.361,2.44
260.635,-0.018,0.322,2.342
260.845,0.016,0.289,2.339
260.997,0.02,0.286,2.319
261.093,0.023,0.282,2.3
261.177,0.027,0.279,2.281
261.274,0.03,0.275,2.261
261.538,0.12,0.216,2.346
261.855,0.034,0.075,2.326
262.086,0.066,0.047,2.321
262.192,0.068,0.05,2.301
262.452,0.254,0.005,2.337
262.752,0.217,0.007,2.044
262.975,0.324,-0.007,1.977
263.112,0.317,-0.001,1.959
263.205,0.309,0.006,1.942
263.292,0.302,0.013,1.925
264.416,0.132,0.221,1.794
264.606,0.23,0.266,1.81
264.693,0.225,0.258,1.793
264.978,0.109,0.354,1.73
265.232,0.102,0.408,1.7
265.347,0.105,0.39,1.692
265.461,0.108,0.373,1.683
265.563,0.112,0.355,1.674
265.661,0.115,0.337,1.665
265.895,0.1,0.392,1.406
266.024,0.104,0.376,1.417
266.119,0.107,0.36,1.428
266.346,0.085,0.283,1.317
266.575,0.178,0.197,1.332
266.679,0.175,0.193,1.352
266.917,0.039,0.093,1.266
267.163,0.012,0.024,1.291
267.487,0.023,-0.041,1.444
267.682,0.028,-0.063,1.514
267.774,0.037,-0.046,1.519
268.015,0.015,-0.1,1.584
268.119,0.025,-0.083,1.583
268.194,0.034,-0.065,1.582
268.475,0.032,0.011,1.742
268.604,0.041,0.022,1.728
268.718,0.051,0.033,1.714
268.791,0.06,0.044,1.701
269.02,0.01,0.222,1.762
269.242,0.003,0.318,1.745
269.349,0.014,0.306,1.733
269.587,0.002,0.439,1.704
269.82,0.015,0.487,1.566
270.066,0.027,0.535,1.402
270.282,0.031,0.519,1.345
270.618,0.014,0.436,1.3
270.847,0.002,0.366,1.296
271.08,-0.008,0.274,1.342
271.362,-0.014,0.193,1.38
271.617,-0.019,0.127,1.409
271.808,-0.017,0.077,1.432
272.044,-0.008,0.064,1.497
272.146,0.008,0.073,1.505
272.237,0.025,0.082,1.512
272.476,0.031,0.076,1.637
272.608,0.037,0.077,1.654
272.708,0.051,0.087,1.643
272.791,0.066,0.096,1.633
273.075,0.057,0.182,1.752
273.313,0.069,0.228,1.762
273.511,0.094,0.292,1.793
273.611,0.098,0.281,1.777
273.7,0.103,0.27,1.76
273.977,0.133,0.38,1.779
274.211,0.13,0.403,1.762
274.446,0.242,0.376,1.801
274.682,0.152,0.337,1.734
274.874,0.161,0.275,1.694
275.015,0.16,0.261,1.68
275.104,0.159,0.246,1.666
275.184,0.158,0.232,1.652
275.374,0.176,0.168,1.622
275.835,0.192,0.034,1.556
276.147,0.178,-0.04,1.501
276.25,0.178,-0.034,1.482
276.333,0.179,-0.028,1.463
276.418,0.179,-0.021,1.444
276.653,0.295,-0.064,1.179
276.883,0.254,-0.067,1.099
277.007,0.252,-0.054,1.084
277.107,0.249,-0.041,1.069
277.204,0.247,-0.028,1.054
277.492,0.268,0.039,1.068
277.698,0.363,0.073,0.992
277.897,0.4,0.116,0.831
279.058,0.4,0.403,0.273
279.326,0.348,0.425,0.285
279.526,0.319,0.433,0.327
279.619,0.314,0.424,0.345
279.87,0.254,0.463,0.357
280.068,0.22,0.466,0.322
280.175,0.22,0.456,0.34
280.262,0.219,0.446,0.357
280.547,0.242,0.374,0.438
280.748,0.221,0.368,0.577
280.848,0.219,0.356,0.593
281.083,0.233,0.356,0.609
281.312,0.241,0.356,0.601
281.432,0.237,0.343,0.616
281.524,0.234,0.33,0.631
281.766,0.216,0.346,0.779
281.988,0.199,0.32,0.927
282.095,0.199,0.307,0.911
282.206,0.199,0.294,0.896
282.319,0.199,0.281,0.881
282.435,0.199,0.268,0.866
282.52,0.2,0.257,0.852
282.76,0.089,0.188,1.409
282.849,0.092,0.188,1.389
283.077,0.085,0.084,1.418
283.213,0.088,0.085,1.399
283.459,0.161,0.026,1.136
283.734,0.169,0.057,1.078
283.829,0.172,0.059,1.058
283.969,0.155,0.073,0.941
284.052,0.158,0.075,0.922
284.184,0.236,0.084,0.798
284.286,0.238,0.087,0.779
284.523,0.182,0.27,0.698
284.788,0.302,0.138,0.748
284.895,0.302,0.14,0.728
284.993,0.301,0.142,0.708
285.091,0.301,0.143,0.688
285.184,0.301,0.145,0.668
286.314,0.358,0.294,0.099
286.519,0.377,0.303,-0.117
286.783,0.391,0.309,-0.301
287.069,0.414,0.3,-0.551
287.279,0.41,0.25,-0.818
287.349,0.408,0.248,-0.799
287.615,0.506,0.362,-0.861
287.86,0.377,0.239,-0.876
288.189,0.491,0.354,-0.921
288.651,0.482,0.376,-0.823
289.811,0.363,0.344,-0.413
290.066,0.364,0.342,-0.415
290.307,0.363,0.343,-0.413
290.611,0.361,0.343,-0.413
290.844,0.36,0.342,-0.416
291.058,0.357,0.343,-0.419
291.276,0.357,0.341,-0.417
291.466,0.356,0.34,-0.418
291.731,0.354,0.341,-0.418
291.941,0.354,0.342,-0.392
292.151,0.352,0.343,-0.396
292.36,0.352,0.342,-0.398
292.477,0.35,0.335,-0.379
292.557,0.347,0.328,-0.361
292.817,0.351,0.342,-0.397
293.035,0.35,0.341,-0.397
293.254,0.349,0.341,-0.397
293.48,0.349,0.342,-0.4
293.725,0.349,0.341,-0.399
293.918,0.348,0.341,-0.4
294.036,0.345,0.335,-0.382
294.146,0.343,0.328,-0.363
294.404,0.346,0.341,-0.399
294.728,0.343,0.339,-0.399
294.932,0.342,0.336,-0.4
295.18,0.339,0.338,-0.407
295.401,0.336,0.339,-0.407
295.594,0.335,0.338,-0.409
295.686,0.334,0.332,-0.39
295.935,0.331,0.336,-0.411
296.14,0.325,0.256,-0.432
296.403,0.327,0.337,-0.415
296.639,0.321,0.254,-0.437
296.852,0.326,0.334,-0.42
297.062,0.325,0.335,-0.422
297.27,0.323,0.336,-0.424
297.492,0.322,0.333,-0.423
297.59,0.321,0.327,-0.404
297.679,0.32,0.321,-0.385
297.94,0.32,0.333,-0.421
298.127,0.316,0.334,-0.429
298.195,0.315,0.328,-0.41
298.364,0.314,0.333,-0.427
298.484,0.313,0.327,-0.408
298.593,0.312,0.321,-0.389
298.679,0.312,0.315,-0.37
298.939,0.309,0.332,-0.43
299.038,0.309,0.326,-0.411
299.112,0.308,0.32,-0.392
299.254,0.307,0.331,-0.434
299.369,0.306,0.326,-0.415
299.577,0.295,0.254,-0.464
299.796,0.297,0.33,-0.439
300.047,0.287,0.253,-0.464
300.249,0.291,0.33,-0.444
300.356,0.291,0.325,-0.425
300.611,0.293,0.279,-0.48
300.816,0.3,0.326,-0.349
300.92,0.3,0.319,-0.33
301.001,0.3,0.313,-0.312
301.244,0.33,0.332,-0.243
301.477,0.341,0.326,-0.227
301.714,0.344,0.323,-0.167
301.916,0.354,0.324,-0.18
302.012,0.349,0.313,-0.164
302.092,0.345,0.302,-0.148
302.348,0.355,0.315,-0.216
302.574,0.352,0.314,-0.234
302.798,0.348,0.316,-0.246
303.009,0.346,0.313,-0.248
303.107,0.343,0.305,-0.23
303.258,0.343,0.31,-0.243
303.37,0.34,0.302,-0.225
303.473,0.337,0.294,-0.207
303.734,0.331,0.311,-0.259
304.041,0.334,0.295,-0.279
304.269,0.332,0.296,-0.306
304.519,0.336,0.291,-0.319
304.716,0.335,0.293,-0.314
304.964,0.329,0.199,-0.32
305.177,0.335,0.291,-0.317
305.385,0.334,0.291,-0.319
305.642,0.334,0.291,-0.319
305.979,0.331,0.288,-0.315
306.192,0.33,0.312,-0.112
306.408,0.336,0.302,-0.117
306.622,0.336,0.299,-0.122
306.866,0.336,0.3,-0.137
307.173,0.336,0.297,-0.135
307.393,0.332,0.293,-0.133
307.618,0.329,0.298,-0.146
307.829,0.327,0.294,-0.144
307.928,0.324,0.283,-0.128
308.169,0.322,0.292,-0.148
308.267,0.319,0.282,-0.131
308.318,0.317,0.271,-0.114
308.526,0.314,0.292,-0.154
308.738,0.315,0.282,-0.143
308.986,0.313,0.291,-0.153
309.173,0.317,0.285,-0.114
309.373,0.314,0.163,-0.053
309.603,0.314,0.166,-0.013
309.717,0.314,0.168,0.007
309.975,0.32,0.16,0.034
310.169,0.321,0.279,0.042
310.229,0.321,0.279,0.062
310.381,0.33,0.231,0.215
310.478,0.33,0.232,0.235
310.733,0.32,0.279,0.656
310.977,0.352,0.219,0.838
311.273,0.327,0.227,1.19
311.475,0.309,0.231,1.649
311.54,0.308,0.243,1.634
311.989,0.248,0.211,2.179
312.092,0.247,0.212,2.199
312.192,0.246,0.214,2.219
312.294,0.245,0.216,2.239
312.389,0.244,0.218,2.259
312.652,0.304,0.308,2.645
312.838,0.297,0.301,2.798
313.059,0.288,0.295,3.004
313.275,0.284,0.322,-2.936
313.57,0.267,0.3,-2.68
